Specification,Term,Scale,Multiplier,OR,CI_low,CI_high,P
primary,QualRaceCorrelation,per_unit,1.0,0.9299964108709143,0.5410579198562643,1.5985226211318506,0.7687033761149845
primary,QualRaceCorrelation,per_SD,0.25255240257500794,0.9818380747991696,0.8563081358522799,1.1257699941924162,0.7687033761149845
primary,MeanRaceFinishPos,per_unit,1.0,0.9537206299873902,0.9319607983949535,0.9759885197210563,0.0012118163862140984
primary,C(Industry)[T.Automotive],per_unit,1.0,1.8311765067143553,1.0592269049501042,3.165712070824471,0.03386556456587479
primary,C(Industry)[T.Crypto & Web3],per_unit,1.0,0.46771173184229037,0.26051715730811165,0.8396923502592788,0.0165518588004838
year_indicators,QualRaceCorrelation,per_unit,1.0,0.8113882223442219,0.5632647541913477,1.168812432271001,0.22742653046341066
year_indicators,QualRaceCorrelation,per_SD,0.25255240257500794,0.9485833336740899,0.8650512982736166,1.040181481398851,0.22742653046341066
year_indicators,MeanRaceFinishPos,per_unit,1.0,0.9567116696768366,0.9288463293556838,0.9854129687208412,0.008040586603378554
year_indicators,C(Industry)[T.Automotive],per_unit,1.0,1.8725443215546853,1.0571918478414475,3.3167321932589977,0.03486355731084272
year_indicators,C(Industry)[T.Crypto & Web3],per_unit,1.0,0.46948744314347957,0.2623976317726296,0.8400169535843868,0.016486120852473897
team_indicators,QualRaceCorrelation,per_unit,1.0,0.7507685321890722,0.3387544000592996,1.6638998307525024,0.43619614873260065
team_indicators,QualRaceCorrelation,per_SD,0.25255240257500794,0.930162349969253,0.7608014179647968,1.1372244804890164,0.43619614873260065
team_indicators,MeanRaceFinishPos,per_unit,1.0,0.9326738585252295,0.8365268646686301,1.0398715966174283,0.1812057523977666
team_indicators,C(Industry)[T.Automotive],per_unit,1.0,1.813496262746506,1.044253833994819,3.1493958537018516,0.03738727232971786
team_indicators,C(Industry)[T.Crypto & Web3],per_unit,1.0,0.4750898511345047,0.2654126761275668,0.8504129114862674,0.01783414302886404
team_and_year_indicators,QualRaceCorrelation,per_unit,1.0,0.6428840960970802,0.3716310330645932,1.1121244574392801,0.1015356644284233
team_and_year_indicators,QualRaceCorrelation,per_SD,0.25255240257500794,0.8944240078657812,0.7788086130386422,1.027202694543125,0.1015356644284233
team_and_year_indicators,MeanRaceFinishPos,per_unit,1.0,0.9437258292279865,0.8637435212207043,1.0311144672823307,0.17313859827334388
team_and_year_indicators,C(Industry)[T.Automotive],per_unit,1.0,1.8590868193927428,1.0418465345091195,3.317382827086201,0.03846536303357308
team_and_year_indicators,C(Industry)[T.Crypto & Web3],per_unit,1.0,0.48440944341459924,0.27435958086293305,0.8552736089302877,0.01805270005264682
